"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId"
"2025-07-10 14:11:59",1752156719043,"fini-tn.vercel.app/api/stores","GET","",200,"z4wvq-1752156718976-09c06d0c0ab0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","info","production","main","MISS","lambda","/api/stores","fini-tn.vercel.app","fini-tn.vercel.app","dpl_WNXLjVpE1U6H7j3JrhfQCtbW4wam",150,"iad1",99,2048,"","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZTAVHVK347NQB3DPDRP3W58","TqK6AZBF0XVG"
"2025-07-10 14:11:59",1752156719029,"fini-tn.vercel.app/api/stores/auto-sync-scheduler","POST","",200,"xwnhq-1752156718968-cca84a8b236b","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","info","production","main","MISS","lambda","/api/stores/auto-sync-scheduler","fini-tn.vercel.app","fini-tn.vercel.app","dpl_WNXLjVpE1U6H7j3JrhfQCtbW4wam",67,"iad1",99,2048,"","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZTAVHVK347NQB3DPDRP3W58","TqK6AZBF0XVG"
"2025-07-10 14:11:59",1752156719011,"fini-tn.vercel.app/api/stores/auto-sync-scheduler","POST","",200,"rcksf-1752156718950-2dd09f2a4744","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","info","production","main","MISS","lambda","/api/stores/auto-sync-scheduler","fini-tn.vercel.app","fini-tn.vercel.app","dpl_WNXLjVpE1U6H7j3JrhfQCtbW4wam",60,"iad1",99,2048,"","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZTAVHVK347NQB3DPDRP3W58","TqK6AZBF0XVG"
"2025-07-10 14:11:58",1752156718963,"fini-tn.vercel.app/api/stores/auto-sync-scheduler","POST","",200,"5jkd6-1752156718900-b5fd086a7d19","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","info","production","main","MISS","lambda","/api/stores/auto-sync-scheduler","fini-tn.vercel.app","fini-tn.vercel.app","dpl_WNXLjVpE1U6H7j3JrhfQCtbW4wam",120,"iad1",99,2048,"","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZTAVHVK347NQB3DPDRP3W58","TqK6AZBF0XVG"
"2025-07-10 14:11:58",1752156718960,"fini-tn.vercel.app/api/dashboard/stats","GET","",-1,"2vbbs-1752156718882-c0e0105af4ad","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/api/dashboard/stats","fini-tn.vercel.app","fini-tn.vercel.app","dpl_WNXLjVpE1U6H7j3JrhfQCtbW4wam",-1,"iad1",-1,-1,"Using the user object as returned from supabase.auth.getSession() or from some supabase.auth.onAuthStateChange() events could be insecure! This value comes directly from the storage medium (usually cookies on the server) and may not be authentic. Use supabase.auth.getUser() instead which authenticates the data by contacting the Supabase Auth server.","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZTAVHTZVPN6PNJBT5J80AVD",""
"2025-07-10 14:11:58",1752156718943,"fini-tn.vercel.app/api/dashboard/stats","GET","",200,"2vbbs-1752156718882-c0e0105af4ad","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","info","production","main","MISS","lambda","/api/dashboard/stats","fini-tn.vercel.app","fini-tn.vercel.app","dpl_WNXLjVpE1U6H7j3JrhfQCtbW4wam",76,"iad1",144,2048,"","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZTAVHTZVPN6PNJBT5J80AVD","e8C4jgutxbsy"
"2025-07-10 14:11:58",1752156718719,"fini-tn.vercel.app/api/dashboard/stats","GET","",-1,"z4wvq-1752156718632-2788df7c724d","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/api/dashboard/stats","fini-tn.vercel.app","fini-tn.vercel.app","dpl_WNXLjVpE1U6H7j3JrhfQCtbW4wam",-1,"iad1",-1,-1,"Using the user object as returned from supabase.auth.getSession() or from some supabase.auth.onAuthStateChange() events could be insecure! This value comes directly from the storage medium (usually cookies on the server) and may not be authentic. Use supabase.auth.getUser() instead which authenticates the data by contacting the Supabase Auth server.","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZTAVHKC56FGDBWW1CH23CJ4",""
"2025-07-10 14:11:58",1752156718707,"fini-tn.vercel.app/api/user/ensure-profile","POST","",200,"xwnhq-1752156718644-fa625fe17590","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","info","production","main","MISS","lambda","/api/user/ensure-profile","fini-tn.vercel.app","fini-tn.vercel.app","dpl_WNXLjVpE1U6H7j3JrhfQCtbW4wam",139,"iad1",141,2048,"","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZTAVHKK0YDAGQ40PND0BR2B","TqK6AZBF0XVG"
"2025-07-10 14:11:58",1752156718700,"fini-tn.vercel.app/api/dashboard/stats","GET","",200,"z4wvq-1752156718632-2788df7c724d","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","info","production","main","MISS","lambda","/api/dashboard/stats","fini-tn.vercel.app","fini-tn.vercel.app","dpl_WNXLjVpE1U6H7j3JrhfQCtbW4wam",57,"iad1",131,2048,"","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZTAVHKC56FGDBWW1CH23CJ4","i1f99fZCqWh0"
"2025-07-10 14:11:58",1752156718699,"fini-tn.vercel.app/api/stores","GET","",200,"q8tdg-1752156718630-c385a9576879","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","info","production","main","MISS","lambda","/api/stores","fini-tn.vercel.app","fini-tn.vercel.app","dpl_WNXLjVpE1U6H7j3JrhfQCtbW4wam",174,"iad1",98,2048,"","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZTAVHHXS7SEK7MT7MP3ZKWW","e8C4jgutxbsy"
