"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId"
"2025-07-02 13:55:25",1751464525958,"fini-4tdfzose0-facundoinfinures-projects.vercel.app/favicon.svg","GET","",200,"2bnng-1751464525952-3d80d5053c6d","node","info","production","main","MISS","edge-middleware","/src/middleware","fini-4tdfzose0-facundoinfinures-projects.vercel.app","fini-4tdfzose0-facundoinfinures-projects.vercel.app","dpl_GfvwiBK5umRqE8sGU7id76wEnk5z",-1,"sfo1",-1,-1,"","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZ5PQG46H5RAA8JZH4CH4ZMW","WFM7QDAbElNH"
"2025-07-02 13:55:24",1751464524783,"fini-4tdfzose0-facundoinfinures-projects.vercel.app/favicon.svg","GET","",200,"qlc79-1751464524768-cd1504cc37b6","vercel-favicon/1.0","info","production","main","MISS","edge-middleware","/src/middleware","fini-4tdfzose0-facundoinfinures-projects.vercel.app","fini-4tdfzose0-facundoinfinures-projects.vercel.app","dpl_GfvwiBK5umRqE8sGU7id76wEnk5z",-1,"sfo1",-1,-1,"","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZ5PQEZF25W3V26ETWSVCBSG","WFM7QDAbElNH"
"2025-07-02 13:55:24",1751464524686,"fini-4tdfzose0-facundoinfinures-projects.vercel.app/","GET","",200,"gdbrq-1751464524673-9fe697b3c4e7","vercel-favicon/1.0","info","production","main","MISS","edge-middleware","/src/middleware","fini-4tdfzose0-facundoinfinures-projects.vercel.app","fini-4tdfzose0-facundoinfinures-projects.vercel.app","dpl_GfvwiBK5umRqE8sGU7id76wEnk5z",-1,"sfo1",-1,-1,"","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZ5PQEWFP9RBAQM63JB89QX9","WFM7QDAbElNH"
"2025-07-02 13:55:05",1751464505335,"fini-tn.vercel.app/api/conversations","GET","",-1,"z6nv7-1751464505154-29865968ca32","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/api/conversations","fini-tn.vercel.app","fini-tn.vercel.app","dpl_GfvwiBK5umRqE8sGU7id76wEnk5z",-1,"iad1",-1,-1,"[RAG:embeddings] Generating 1 embeddings in batch","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZ5PPVW1BGV02WQW321SPK8W",""
"2025-07-02 13:55:05",1751464505335,"fini-tn.vercel.app/api/conversations","GET","",-1,"z6nv7-1751464505154-29865968ca32","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/api/conversations","fini-tn.vercel.app","fini-tn.vercel.app","dpl_GfvwiBK5umRqE8sGU7id76wEnk5z",-1,"iad1",-1,-1,"[RAG:processor] Created 1 chunks from document","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZ5PPVW1BGV02WQW321SPK8W",""
"2025-07-02 13:55:05",1751464505335,"fini-tn.vercel.app/api/conversations","GET","",-1,"z6nv7-1751464505154-29865968ca32","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/api/conversations","fini-tn.vercel.app","fini-tn.vercel.app","dpl_GfvwiBK5umRqE8sGU7id76wEnk5z",-1,"iad1",-1,-1,"[RAG:processor] Processing document of type: conversations","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZ5PPVW1BGV02WQW321SPK8W",""
"2025-07-02 13:55:05",1751464505335,"fini-tn.vercel.app/api/conversations","GET","",-1,"z6nv7-1751464505154-29865968ca32","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/api/conversations","fini-tn.vercel.app","fini-tn.vercel.app","dpl_GfvwiBK5umRqE8sGU7id76wEnk5z",-1,"iad1",-1,-1,"[RAG:engine] Indexing document of type: conversations","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZ5PPVW1BGV02WQW321SPK8W",""
"2025-07-02 13:55:05",1751464505335,"fini-tn.vercel.app/api/conversations","GET","",-1,"z6nv7-1751464505154-29865968ca32","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/api/conversations","fini-tn.vercel.app","fini-tn.vercel.app","dpl_GfvwiBK5umRqE8sGU7id76wEnk5z",-1,"iad1",-1,-1,"[RAG:SECURITY] Creating namespace for store ce6e4e8d-c992-4a4f-b88f-6ef964c6cb2a, type: conversations","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZ5PPVW1BGV02WQW321SPK8W",""
"2025-07-02 13:55:05",1751464505335,"fini-tn.vercel.app/api/conversations","GET","",-1,"z6nv7-1751464505154-29865968ca32","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/api/conversations","fini-tn.vercel.app","fini-tn.vercel.app","dpl_GfvwiBK5umRqE8sGU7id76wEnk5z",-1,"iad1",-1,-1,"[RAG:embeddings] Generating 1 embeddings in batch","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZ5PPVW1BGV02WQW321SPK8W",""
"2025-07-02 13:55:05",1751464505335,"fini-tn.vercel.app/api/conversations","GET","",-1,"z6nv7-1751464505154-29865968ca32","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/api/conversations","fini-tn.vercel.app","fini-tn.vercel.app","dpl_GfvwiBK5umRqE8sGU7id76wEnk5z",-1,"iad1",-1,-1,"[RAG:processor] Created 1 chunks from document","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZ5PPVW1BGV02WQW321SPK8W",""
"2025-07-02 13:55:05",1751464505335,"fini-tn.vercel.app/api/conversations","GET","",-1,"z6nv7-1751464505154-29865968ca32","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/api/conversations","fini-tn.vercel.app","fini-tn.vercel.app","dpl_GfvwiBK5umRqE8sGU7id76wEnk5z",-1,"iad1",-1,-1,"[RAG:processor] Processing document of type: analytics","prj_8i22mimp6RO1WTRkdRfuqTTiWDzD","","","01JZ5PPVW1BGV02WQW321SPK8W",""
